you,vocês
gave,deram
fact,facto
crazy,louco
party,Festa
sit,sentar
open,abrir
afraid,com medo
between,entre
important,importante
rest,descanso
fun,Diversão
kid,miúdo
word,palavra
watch,ver
glad,alegre
everyone,todos
days,dias
sister,irmã
minutes,minutos
everybody,todo o mundo
bit,pedaço
couple,casal
whoa,Uau
either,qualquer
Mrs,Sra
feeling,sentimento
daughter,filha
wow,uau
gets,fica
asked,Perguntou
under,debaixo
break,parar
promise,promessa
door,porta
set,definir
close,perto
hand,mão
easy,fácil
question,pergunta
doctor,médico
tried,tentou
far,distante
walk,andar
needs,precisa
trouble,problema
mine,minha
though,no entanto
times,vezes
different,diferente
killed,morto
hospital,hospital
anybody,qualquer pessoa
Sam,Ele mesmo
SAM,ELE MESMO
alright,tudo bem
wedding,Casamento
shut,fechar
able,capaz
die,a
perfect,perfeito
police,polícia
stand,ficar
comes,vem
hit,acertar
story,história
ya,do
mm,milímetros
waiting,espera
dinner,jantar
against,contra
funny,engraçado
husband,esposo
almost,quase
stupid,estúpido
pay,pagar
answer,responda
four,quatro
office,escritório
cool,legal
eyes,olhos
news,notícia
child,filho
shouldn't,não deveria
half,metade
side,lado
yours,Sua
moment,momento
sleep,dorme
read,ler
where's,Onde está a
started,iniciado
young,jovem
men,homens
sounds,sons
sonny,filhotinho
Sonny,Sonny
lucky,afortunado
pick,escolha
sometimes,as vezes
'em,'em
bed,cama
also,também
date,encontro
line,linha
plan,plano
hours,horas
lose,perder
fire,incêndio
free,gratuitamente
hands,mãos
serious,sério
Leo,Leão
shit,merda
behind,atras do
inside,lado de dentro
high,Alto
ahead,à frente
week,semana
wonderful,Maravilhoso
T,T
fight,lutar
past,passado
cut,cortar
quite,bastante
number,número
he'll,inferno
sick,doente
S,S
it'll,vai
game,jogos
eat,comer
nobody,ninguém
goes,vai
death,morte
along,ao longo
save,Salve 
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,chateado
Theresa,Há um
Carly,Carly
Ethan,Ethan
met,do
book,livro
brought,trouxeram
seem,parecer
sort,ordenar
safe,seguro
living,vivo
children,crianças
weren't,não eram
leaving,deixando
front,frente
shot,tomada
loved,amavam
asking,Perguntando
running,corrida
clear,Claro
figure,figura
hot,quente
felt,sentiu
six,seis
parents,pais
drink,beber
absolutely,absolutamente
how's,como está
daddy,papai
sweet,doce
alive,vivo
Paul,Paulo
sense,senso
meant,significou
happens,acontece
David,Davi
special,especial
bet,mas
blood,sangue
ain't,não
kidding,brincando
lie,mentira
full,cheio
meeting,encontro
dear,caro
coffee,café
seeing,vendo
sound,som
fault,culpa
water,agua
fuck,Porra
ten,dez
women,mulheres
John,John
john,João
welcome,Bem-vindo
buy,Comprar
months,meses
hour,hora
speak,falar
lady,senhora
Jen,Apenas
thinks,acha
Christmas,Natal
body,corpo
order,ordem
outside,fora
hang,pendurar
possible,possível
worse,pior
company,companhia
mistake,erro
ooh,ooh
handle,lidar com
spend,gasta
C,C
totally,totalmente
giving,dando
control,ao controle
here's,aqui está
marriage,casado
realize,entender
D,D
power,potência
president,Presidente
unless,a não ser que
sex,sexo
girls,garotas
send,mandar
needed,precisava
O,O
o,o
taken,ocupado
died,morreu
scared,assustada
picture,foto
talked,falou
Jake,Jake
Al,Al
ass,é
hundred,centenas
changed,mudado
completely,completamente
explain,explique
playing,jogando
certainly,certamente
sign,sinal
boys,Rapazes
relationship,relação
Michael,Michael
loves,O amor é
fucking,porra
hair,cabelo
lying,deitado
choice,escolha
anywhere,qualquer lugar
secret,segredo
future,futuro
weird,estranhas
luck,sorte
she'll,Concha
Max,Máx.
max,máximo
Luis,Luís
turned,virou
known,conhecido
touch,toque
kiss,beijo
Crane,Guindaste
crane,guindaste
questions,perguntas
obviously,obviamente
wonder,maravilha
pain,dor
calling,chamando
somewhere,em algum lugar
throw,lançar
straight,direto
Grace,Graça
grace,graça
cold,resfriado
white,branco
White,Branco
fast,velozes
Natalie,Natália
words,palavras
R,R
food,Comida
none,Nenhum
drive,dirigir
feelings,sentimentos
they'll,eles vão
worked,trabalhado
marry,casar
light,leve
test,teste
drop,derrubar
cannot,não podes
Frank,Franco
sent,enviado
city,cidade
dream,Sonhe
protect,proteger
twenty,vinte
class,classe
Lucy,Lucy
surprise,surpresa
its,Está
sweetheart,amada
forever,para todo sempre
poor,pobre
looked,visto
mad,louco
except,exceto
gun,arma de fogo
y'know,você sabe
dance,dança
takes,leva
appreciate,apreciar
especially,especialmente
situation,situação
besides,além do mais
weeks,semanas
pull,puxar
himself,ele mesmo
hasn't,não tem
act,Aja
worth,que vale a pena
Sheridan,Sheridan
amazing,incrível
top,topo
given,dado
expect,Espero
Ben,Ben
rather,em vez de
Julian,Juliano
involved,envolvido
swear,jurar
piece,peça
busy,ocupado
law,lei
decided,decidiu
black,Preto
Black,Preto
Joey,Joey
happening,acontecendo
movie,filme
we'd,qua
catch,truque
Antonio,Antônio
country,país
less,menos
perhaps,talvez
step,degrau
fall,cair
watching,assistindo
kept,mantido
darling,querida
dog,cão
Ms,EM
win,ganhar
air,ar
honor,honra
personal,pessoal
moving,em movimento
till,para
admit,Admitem
problems,problemas
murder,assassinato
strong,Forte
he'd,ele tinha
evil,mal
definitely,definitivamente
feels,sentimentos
information,em formação
honest,honesto
eye,olho
broke,quebrou
missed,esquecidas
longer,mais tempo
dollars,dólares
tired,cansado
Jason,Jasão
George,Jorge
evening,tarde
human,humano
starting,iniciando
Ross,Ross
red,vermelho
entire,inteira
trip,viagem
Brooke,Brooke
E,E
club,clube
Niles,Niles
suppose,suponha
calm,calma
imagine,Imagine
Todd,Todd
fair,feira
caught,apanhado
B,B
blame,culpa
street,rua
sitting,sentado
favor,Favor
apartment,apartamento
court,quadra
terrible,Terrível
clean,limpar
Tony,Tony
tony,tony
learn,aprender
Alison,Alisson
Rick,Rick
works,funciona
Rose,Rosa
rose,rosa
Frasier,Frasier
relax,relaxar
York,Iorque
million,milhão
charity,caridade
accident,acidente
wake,acordar
prove,provar
Danny,Danny
smart,inteligente
message,mensagem
missing,ausência de
forgot,esquecido
small,pequena
interested,interessado
table,tabela
nbsp,nbsp
become,vir a ser
Craig,Craig
mouth,boca
pregnant,grávida
middle,meio
Billy,Billy
billy,Billy
ring,anel
careful,cuidadoso
shall,deve
dude,cara
team,equipe
ride,passeio
figured,figurado
wear,vestem
shoot,atirar
stick,grudar
Ray,Raio
ray,raio
follow,Segue
Bo,Bo
angry,Bravo
instead,em vez de
buddy,camarada
write,Escreva
stopped,parou
early,cedo
Angel,Anjo
angel,anjo
Nick,usuario
nick,usuario
ran,correu
war,guerra
standing,de pé
forgive,perdoar
jail,cadeia
wearing,vestindo
Miguel,Miguel
ladies,senhoras
kinda,tipo
lunch,almoço
Cristian,Cristina
eight,oito
Greenlee,Greenlee
gotten,pego
hoping,na esperança
Phoebe,Febe
thousand,mil
ridge,cume
music,música
Luke,Lucas
paper,papel
tough,difícil
tape,fita
Emily,Emily
state,Estado
count,contar
college,faculdade
boyfriend,namorado
proud,orgulhoso
agree,aceita
birthday,aniversário
bill,conta
seven,Sete
they've,eles têm
Timmy,Timmy
history,história
share,compartilhar
offer,oferta
hurry,pressa
ow,ai
feet,pés
wondering,perguntando
simple,simples
decision,decisão
building,prédio
ones,uns
finish,Finalizar
voice,voz
herself,ela própria
Chris,Chris
would've,teria
list,Lista
Kay,com
mess,bagunça
deserve,merecer
evidence,evidência
cute,bonitinho
Jerry,Jerry
dress,vestir
Richard,Ricardo
interesting,interessante
Jesus,Jesus
James,James
hotel,hotel
enjoy,desfrutar
Ryan,Ryan
Lindsay,Lindsay
quiet,tranquilo
concerned,preocupado
road,estrada
Eve,Véspera
eve,véspera
staying,ficando
short,curto
M,M
beat,bater
sweetie,querida
mention,menção
clothes,roupas
finished,finalizado
fell,caiu
neither,nenhum
mmm,mmm
fix,fixar
Victor,Vencedor
victor,vencedor
respect,respeito
spent,gasto
prison,prisão
attention,atenção
holding,segurando
calls,chamadas
near,aproximar
surprised,surpreso
bar,bar
Beth,Bete
pass,passar
keeping,guardando
gift,Presente
hadn't,não tinha
putting,colocando
dark,Sombrio
self,auto
owe,dever
using,usando
Nora,Nora
ice,gelo
helping,ajudando
bitch,cadela
normal,normal
aunt,tia
lawyer,advogado
apart,separado
certain,certo
plans,planos
Jax,Jax
girlfriend,Namorada
floor,piso
whether,se
present,presente
earth,terra
private,privado
Jessica,Jéssica
box,caixa
Dawson,Dawson
cover,cobrir
judge,juiz
upstairs,andar de cima
Alexis,Alexis
Shawn,Shawn
sake,interesse
mommy,mamãe
possibly,possivelmente
worst,pior
